instance_name,application_freq,Desired_Count,Run_Count,success_count,Missed_Additional
"BNK_Yes_Business_NEFT_Bulk_Transfer_Checker_Web","15","960","858","792","-168"
"BNK_Yes_Business_NEFT_Bulk_Transfer_Maker_Web","15","960","970","830","-130"
"BNK_Yes_Business_NEFT_Salary_Upload_Auto_Authorize_Web","15","960","101","95","-865"
"BNK_Yes_Business_RTGS_Bulk_Transfer_Checker_Web","15","960","874","754","-206"
"BNK_Yes_Business_RTGS_Bulk_Transfer_Maker_Web","15","960","959","821","-139"
"BNK_Yes_Business_TPT_Bulk_Transfer_Checker_Web","15","960","840","792","-168"
"BNK_Yes_Business_TPT_Bulk_Transfer_Maker_Web","15","960","876","838","-122"
"BNK_Yes_Connect_URL_Web","15","960","958","946","-14"
"BNK_Yes_Console_Url_Web","15","960","954","944","-16"
"BNK_Yes_Corporate_Iportal_Url_Web","15","960","949","938","-22"
"BNK_Yes_IRIS_Add_Beneficiary_Android","40","350","439","319","-31"
"BNK_Yes_IRIS_BIZ_Ad_hoc_IMPS_FT_Android","15","960","985","911","-49"
"BNK_Yes_IRIS_BIZ_Add & Delete_Beneficiary_Android","15","960","168","75","-885"
"BNK_Yes_IRIS_IMPS_Android","15","960","1001","914","-46"
"BNK_Yes_IRIS_IMPS_iOS","15","960","1052","852","-108"
"BNK_Yes_IRIS_Login_Android","15","960","1011","911","-49"
"BNK_Yes_IRIS_NEFT_Android","15","960","959","914","-46"
"BNK_Yes_IRIS_NEFT_iOS","15","960","981","857","-103"
"BNK_Yes_IRIS_Open_FD&RD_Android","15","960","1020","896","-64"
"BNK_Yes_IRIS_Open_FD&RD_iOS","15","960","1095","860","-100"
"BNK_Yes_IRIS_Quick_Transfer_Android","15","960","951","920","-40"
"BNK_Yes_IRIS_RTGS_Android","15","960","980","921","-39"
"BNK_Yes_IRIS_SI_Android","15","960","1003","885","-75"
"BNK_Yes_IRIS_UPI_24x7_Android","15","960","977","879","-81"
"BNK_Yes_IRIS_UPI_Success_Android","90","10","171","136","126"
"BNK_Yes_Prelogin_Web","15","960","1024","918","-42"
"BNK_Yes_RIB_Bill_Payment_Add_Biller_Web","15","960","1058","864","-96"
"BNK_Yes_RIB_Bill_Payment_Delete_Biller_Web","15","960","1031","864","-96"
"BNK_Yes_RIB_Bill_Payment_Pay_Now_Web","15","960","986","873","-87"
"BNK_Yes_RIB_Enquiries_Web","15","960","998","890","-70"
"BNK_Yes_RIB_IMPS_FT_Web","15","960","1026","903","-57"
"BNK_Yes_RIB_Login&Logout_Web","15","960","1025","919","-41"
"BNK_Yes_RIB_Manage_Add_Beneficiary_Web","15","960","1005","815","-145"
"BNK_Yes_RIB_Manage_Delete_Beneficiary_Web","15","960","901","818","-142"
"BNK_Yes_RIB_Mobile_Recharge_Web","15","960","989","905","-55"
"BNK_Yes_RIB_NEFT_FT_Web","15","960","990","877","-83"
"BNK_Yes_RIB_Own_Acc_FT_Web","15","960","1006","873","-87"
"BNK_Yes_RIB_RTGS_FT_Web","15","960","979","872","-88"
"BNK_Yes_UPI_Merchant_Portal_Web","15","960","955","937","-23"
"FIN_ABC_One_Service_AMC_iOS","15","960","1034","57","-903"
"FIN_ABC_One_Service_HI_iOS","15","960","947","0","-960"
"FIN_ABC_One_Service_Portal_ABAMC_Android","15","960","1257","700","-260"
"FIN_ABC_One_Service_Portal_ABAMC_Web","15","960","925","465","-495"
"FIN_ABC_One_Service_Portal_ABHI_Android","15","960","949","0","-960"
"FIN_ABC_One_Service_Portal_ABHI_Web","15","960","1074","498","-462"
"FIN_ABC_One_Service_Portal_Stocks_Android","15","960","973","0","-960"
"FIN_ABC_One_Service_Portal_Stocks_Web","15","960","758","0","-960"
"FIN_ABC_One_Service_Stocks_iOS","15","960","1106","726","-234"
"FIN_ABCD_AppLogin_Android","15","960","1097","877","-83"
"FIN_ABCD_AppLogin_NativeScreenlock_Android","15","960","1084","863","-97"
"FIN_ABCD_DigiSilver_Journey_Android","15","960","1110","780","-180"
"FIN_ABCD_DigiSilver_Journey_iOS","15","960","1279","604","-356"
"FIN_ABCD_LAMF_Apply_Now_Journey_Android","15","960","1099","785","-175"
"FIN_ABCD_LAMF_Apply_Now_Journey_iOS","15","960","941","803","-157"
"FIN_ABCD_LAMF_Resume_Journey_Android","15","960","1430","478","-482"
"FIN_ABCD_LAMF_Resume_Journey_iOS","15","960","1060","802","-158"
"FIN_ABCD_My_Holdings_Journey_Android","15","960","981","880","-80"
"FIN_ABCD_My_Holdings_Journey_iOS","15","960","990","795","-165"
"FIN_ABCD_My_Portfolio_&_Order_Book_Android","15","960","1186","892","-68"
"FIN_ABCD_PL_Native_Airtel_Android","15","960","1291","660","-300"
"FIN_ABCD_PL_Native_Jio_Android","15","960","1281","632","-328"
"FIN_ABCD_Pocket_Insurance_Journey_iOS","15","960","1099","458","-502"
"FIN_ABCD_Pre-Login_Urls_Web","15","960","1101","882","-78"
"FIN_ABCD_Vehicle_Track_Journey_Android","15","960","1068","790","-170"
"FIN_L&T LTFS URLs","15","960","954","944","-16"
"FIN_L&T_FS_Corporate_Web","15","960","971","944","-16"
"FIN_L&T_Planet_ PL&HL_Web","15","960","1033","892","-68"
"FIN_L&T_Planet_2W_Micro_LAP_FE_BL_Web","15","960","971","940","-20"
"FIN_L&T_Planet_5Minutes_Android","5","2880","2793","2724","-156"
"FIN_L&T_Planet_Loan_Services_Web","15","960","1008","928","-32"
"FIN_LTFS_Urls_Web","15","960","944","943","-17"
"FIN_Mahindra_Quiklyz1_Web","15","960","988","899","-61"
"FIN_Mahindra_Quiklyz2_Web","15","960","1028","858","-102"
"FIN_Planet_3.0_Tractor_Auction_Portal_Android","15","960","994","825","-135"
"FIN_Planet_3.0_Two_Wheeler_Auction_Portal_Android","15","960","997","829","-131"
"FIN_Planet3.0_Existing_User_Journey_Android1","15","960","1123","821","-139"
"FIN_Planet3.0_Existing_User_Journey_Android2","15","960","1016","856","-104"
"FIN_Pocket_Insurance_Journey_Android","15","960","967","146","-814"
"FIN_SIM1_ABCD_Digigold_Android","15","960","1184","678","-282"
"FIN_SIM1_ABCD_Digigold_iOS","15","960","717","15","-945"
"FIN_SIM1_ABCD_Payments_PostLogin_Android","15","960","1008","850","-110"
"FIN_SIM1_ABCD_Payments_Postlogin_iOS","15","960","706","448","-512"
"FIN_SIM1_ABCD_Portfolio_iOS","60","240","733","286","46"
"FIN_SIM1_ABCD_PostLogin_Android","15","960","1067","612","-348"
"FIN_SIM1_ABCD_Postlogin_iOS","15","960","681","395","-565"
"FIN_SIM1_ABCD_Prelogin_Android","15","960","1090","599","-361"
"FIN_SIM1_ABCD_Prelogin_IOS","15","960","1029","849","-111"
"FIN_SIM1_ABCD_SIM_Binding_Android","15","960","1138","352","-608"
"FIN_SIM1_ABCD_UPI_Postlogin_iOS","15","960","710","189","-771"
"FIN_SIM2_ABCD_Digigold_Android","15","960","1104","499","-461"
"FIN_SIM2_ABCD_Digigold_iOS","15","960","690","10","-950"
"FIN_SIM2_ABCD_Payments_PostLogin_Android","15","960","1101","751","-209"
"FIN_SIM2_ABCD_Payments_PostLogin_iOS","15","960","680","417","-543"
"FIN_SIM2_ABCD_Portfolio_iOS","15","960","706","251","-709"
"FIN_SIM2_ABCD_PostLogin_Android","15","960","1159","421","-539"
"FIN_SIM2_ABCD_Postlogin_iOS","15","960","710","312","-648"
"FIN_SIM2_ABCD_Prelogin_Android","15","960","1157","516","-444"
"FIN_SIM2_ABCD_Prelogin_IOS","15","960","1004","839","-121"
